Date,^GDAXI,FTSEMIB.MI,^FCHI,^IBEX,^STOXX50E
2022-01-04,16152.6103515625,27955.0,7317.41015625,8795.7998046875,4367.6201171875
2022-01-05,16271.75,28163.0,7376.3701171875,8790.7998046875,4392.14990234375
2022-01-06,16052.0302734375,27656.0,7249.66015625,8789.900390625,4324.81005859375
2022-01-07,15947.740234375,27618.0,7219.47998046875,8751.7998046875,4305.830078125
2022-01-10,15768.26953125,27354.0,7115.77001953125,8706.900390625,4239.52001953125
2022-01-11,15941.8095703125,27535.0,7183.3798828125,8755.900390625,4281.5400390625
2022-01-12,16010.3203125,27714.0,7237.18994140625,8770.2998046875,4316.39013671875
2022-01-13,16031.58984375,27844.0,7201.14013671875,8816.900390625,4315.89990234375
2022-01-14,15883.240234375,27544.0,7143.0,8806.599609375,4272.18994140625
2022-01-17,15933.7197265625,27689.0,7201.64013671875,8838.7001953125,4302.14013671875
2022-01-18,15772.5595703125,27483.0,7133.830078125,8781.599609375,4257.81982421875
2022-01-19,15809.7197265625,27371.0,7172.97998046875,8774.900390625,4268.27978515625
2022-01-20,15912.330078125,27570.0,7194.16015625,8814.599609375,4299.60986328125
2022-01-21,15603.8798828125,27061.0,7068.58984375,8694.7001953125,4229.56005859375
2022-01-24,15011.1298828125,25973.0,6787.7900390625,8417.7998046875,4054.360107421875
2022-01-25,15123.8701171875,26029.0,6837.9599609375,8479.5,4078.260009765625
2022-01-26,15459.3896484375,26619.0,6981.9599609375,8620.2001953125,4164.60009765625
2022-01-27,15524.26953125,26882.0,7023.7998046875,8706.0,4184.97021484375
2022-01-28,15318.9501953125,26565.0,6965.8798828125,8609.7998046875,4136.91015625
2022-01-31,15471.2001953125,26814.0,6999.2001953125,8612.7998046875,4174.60009765625
2022-02-01,15619.3896484375,27225.0,7099.490234375,8726.7001953125,4224.4501953125
2022-02-02,15613.76953125,27389.0,7115.27001953125,8713.2001953125,4222.0498046875
2022-02-03,15368.4697265625,27089.0,7005.6298828125,8689.400390625,4141.02001953125
2022-02-04,15099.5595703125,26604.0,6951.3798828125,8589.2998046875,4086.580078125
2022-02-07,15206.6396484375,26329.0,7009.25,8558.400390625,4120.56005859375
2022-02-08,15242.3798828125,26412.0,7028.41015625,8674.599609375,4129.25
2022-02-09,15482.009765625,27129.0,7130.8798828125,8846.400390625,4204.08984375
2022-02-10,15490.4404296875,27190.0,7101.5498046875,8886.2001953125,4197.06982421875
2022-02-11,15425.1201171875,26966.0,7011.60009765625,8798.099609375,4155.22998046875
2022-02-14,15113.9697265625,26415.0,6852.2001953125,8573.7998046875,4064.449951171875
2022-02-15,15412.7099609375,26968.0,6979.97021484375,8718.0,4143.7099609375
2022-02-16,15396.0703125,26969.0,6964.97998046875,8737.2001953125,4137.22021484375
2022-02-17,15267.6298828125,26669.0,6946.81982421875,8671.099609375,4113.18994140625
2022-02-18,15042.509765625,26507.0,6929.6298828125,8590.0,4074.280029296875
2022-02-21,14731.1201171875,26050.0,6788.33984375,8488.900390625,3985.7099609375
2022-02-22,14693.0,26044.0,6787.60009765625,8493.2001953125,3985.469970703125
2022-02-23,14631.3603515625,25955.0,6780.669921875,8440.099609375,3973.409912109375
2022-02-24,14052.099609375,24878.0,6521.0498046875,8198.5,3829.2900390625
2022-02-25,14567.23046875,25773.0,6752.43017578125,8486.599609375,3970.68994140625
2022-02-28,14461.01953125,25416.0,6658.830078125,8479.2001953125,3924.22998046875
2022-03-01,13904.849609375,24364.0,6396.490234375,8188.2001953125,3765.85009765625
2022-03-02,14000.1103515625,24534.0,6498.02001953125,8321.0,3820.590087890625
2022-03-03,13698.400390625,23959.0,6378.3701171875,8011.39990234375,3741.780029296875
2022-03-04,13094.5400390625,22465.0,6061.66015625,7720.89990234375,3556.010009765625
2022-03-07,12834.650390625,22160.0,5982.27001953125,7644.60009765625,3512.219970703125
2022-03-08,12831.509765625,22336.0,5962.9599609375,7783.39990234375,3505.2900390625
2022-03-09,13847.9296875,23889.0,6387.830078125,8163.10009765625,3766.02001953125
2022-03-10,13442.099609375,22887.0,6207.2001953125,8069.2998046875,3651.389892578125
2022-03-11,13628.1103515625,23041.0,6260.25,8142.10009765625,3686.780029296875
2022-03-14,13929.1103515625,23427.0,6369.93994140625,8234.400390625,3741.10009765625
2022-03-15,13917.26953125,23500.0,6355.0,8236.099609375,3738.110107421875
2022-03-16,14440.740234375,24285.0,6588.64013671875,8380.400390625,3889.68994140625
2022-03-17,14388.0595703125,24124.0,6612.52001953125,8412.0,3885.320068359375
2022-03-18,14413.08984375,24222.0,6620.240234375,8417.599609375,3902.43994140625
2022-03-21,14326.9697265625,24295.0,6582.330078125,8389.2001953125,3881.800048828125
2022-03-22,14473.2001953125,24534.0,6659.41015625,8487.2001953125,3926.1201171875
2022-03-23,14283.650390625,24299.0,6581.43017578125,8328.400390625,3869.219970703125
2022-03-24,14273.7900390625,24401.0,6555.77001953125,8305.099609375,3863.389892578125
2022-03-25,14305.759765625,24559.0,6553.68017578125,8330.599609375,3867.72998046875
2022-03-28,14417.3701171875,24713.0,6589.10986328125,8365.599609375,3887.10009765625
2022-03-29,14820.330078125,25308.0,6792.16015625,8614.599609375,4002.179931640625
2022-03-30,14606.0498046875,25300.0,6741.58984375,8550.599609375,3959.139892578125
2022-03-31,14414.75,25021.0,6659.8701171875,8445.099609375,3902.52001953125
2022-04-01,14446.48046875,25163.0,6684.31005859375,8503.7001953125,3918.679931640625
2022-04-04,14518.16015625,25176.0,6731.3701171875,8520.7998046875,3951.1201171875
2022-04-05,14424.3603515625,24960.0,6645.509765625,8623.2998046875,3917.85009765625
2022-04-06,14151.6904296875,24447.0,6498.830078125,8482.099609375,3824.68994140625
2022-04-07,14078.150390625,24303.0,6461.68017578125,8467.400390625,3802.010009765625
2022-04-08,14283.669921875,24819.0,6548.22021484375,8606.400390625,3858.3701171875
2022-04-11,14192.7802734375,24749.0,6555.81005859375,8585.0,3839.6201171875
2022-04-12,14124.9501953125,24667.0,6537.41015625,8578.0,3831.469970703125
2022-04-13,14076.4404296875,24722.0,6542.14013671875,8617.7998046875,3827.9599609375
2022-04-14,14163.849609375,24862.0,6589.35009765625,8699.0,3848.679931640625
2022-04-19,14153.4599609375,24624.0,6534.7900390625,8694.0,3830.760009765625
2022-04-20,14362.0302734375,24878.0,6624.91015625,8769.5,3896.81005859375
2022-04-21,14502.41015625,24806.0,6715.10009765625,8814.599609375,3928.030029296875
2022-04-22,14142.08984375,24280.0,6581.419921875,8652.2998046875,3840.010009765625
2022-04-25,13924.169921875,23909.0,6449.3798828125,8574.599609375,3757.590087890625
2022-04-26,13756.400390625,23682.0,6414.56982421875,8439.2998046875,3721.360107421875
2022-04-27,13793.9404296875,23830.0,6445.259765625,8477.7001953125,3734.639892578125
2022-04-28,13979.83984375,24056.0,6508.14013671875,8512.2001953125,3777.02001953125
2022-04-29,14097.8798828125,24252.0,6533.77001953125,8584.2001953125,3802.860107421875
2022-05-02,13939.0703125,23857.0,6425.60986328125,8436.0,3732.43994140625
2022-05-03,14039.4697265625,24242.0,6476.18017578125,8590.2001953125,3761.18994140625
2022-05-04,13970.8203125,23902.0,6395.68017578125,8500.5,3724.989990234375
2022-05-05,13902.51953125,23760.0,6368.39990234375,8434.7001953125,3696.6298828125
2022-05-06,13674.2900390625,23476.0,6258.35986328125,8322.0,3629.169921875
2022-05-09,13380.669921875,22833.0,6086.02001953125,8139.2001953125,3526.860107421875
2022-05-10,13534.740234375,23070.0,6116.91015625,8139.2001953125,3554.800048828125
2022-05-11,13828.6396484375,23724.0,6269.72998046875,8312.599609375,3647.8701171875
2022-05-12,13739.6396484375,23566.0,6206.259765625,8200.400390625,3613.429931640625
2022-05-13,14027.9296875,24048.0,6362.68017578125,8338.099609375,3703.419921875
2022-05-16,13964.3798828125,24033.0,6347.77001953125,8353.7001953125,3685.340087890625
2022-05-17,14185.9404296875,24302.0,6430.18994140625,8475.7001953125,3741.510009765625
2022-05-18,14007.759765625,24086.0,6352.93994140625,8476.400390625,3690.739990234375
2022-05-19,13882.2998046875,24065.0,6272.7099609375,8406.0,3633.330078125
2022-05-20,13981.91015625,24095.0,6285.240234375,8484.5,3657.030029296875
2022-05-23,14175.400390625,24137.0,6358.740234375,8625.7998046875,3708.389892578125
2022-05-24,13919.75,23876.0,6253.14013671875,8631.2001953125,3647.56005859375
2022-05-25,14007.9296875,24250.0,6298.64013671875,8760.2001953125,3677.10009765625
2022-05-26,14231.2900390625,24547.0,6410.580078125,8888.7998046875,
2022-05-27,14462.1904296875,24636.0,6515.75,8933.599609375,3808.860107421875
2022-05-30,14575.98046875,24809.0,6562.39013671875,8930.7998046875,3841.6201171875
2022-05-31,14388.349609375,24505.0,6468.7998046875,8851.5,3789.2099609375
2022-06-01,14340.4697265625,24284.0,6418.89013671875,8747.2001953125,3759.5400390625
2022-06-02,14485.169921875,24427.0,6500.43994140625,8744.099609375,3795.1298828125
2022-06-03,14460.08984375,24167.0,6485.2998046875,8724.7998046875,3783.659912109375
2022-06-06,14653.8095703125,24566.0,6548.77978515625,8836.2998046875,
2022-06-07,14556.6201171875,24366.0,6500.35009765625,8841.599609375,3806.739990234375
2022-06-08,14445.990234375,24237.0,6448.6298828125,8842.7001953125,3788.929931640625
2022-06-09,14198.7998046875,23777.0,6358.4599609375,8711.2001953125,3724.449951171875
2022-06-10,13761.830078125,22547.0,6187.22998046875,8390.599609375,3599.199951171875
2022-06-13,13427.0302734375,21918.0,6022.31982421875,8183.2998046875,3502.5
2022-06-14,13304.3896484375,21847.0,5949.83984375,8066.39990234375,3475.179931640625
2022-06-15,13485.2900390625,22474.0,6030.1298828125,8174.7001953125,3532.320068359375
2022-06-16,13038.490234375,21727.0,5886.240234375,8078.10009765625,3427.909912109375
2022-06-17,13126.259765625,21789.0,5882.64990234375,8145.89990234375,3438.4599609375
2022-06-20,13265.599609375,22004.0,5920.08984375,8286.0,3469.830078125
2022-06-21,13292.400390625,22089.0,5964.66015625,8235.599609375,3494.0
2022-06-22,13144.2802734375,21789.0,5916.6298828125,8145.39990234375,3464.639892578125
2022-06-23,12912.58984375,21615.0,5883.330078125,8106.39990234375,3436.2900390625
2022-06-24,13118.1298828125,22119.0,6073.35009765625,8244.099609375,3533.169921875
2022-06-27,13186.0703125,21929.0,6047.31005859375,8242.599609375,3538.8798828125
2022-06-28,13231.8203125,22101.0,6086.02001953125,8317.5,3549.2900390625
2022-06-29,13003.349609375,21834.0,6031.47998046875,8188.0,3514.320068359375
2022-06-30,12783.76953125,21294.0,5922.85986328125,8098.7001953125,3454.860107421875
2022-07-01,12813.0302734375,21355.0,5931.06005859375,8176.10009765625,3448.31005859375
2022-07-04,12773.3798828125,21344.0,5954.64990234375,8161.7998046875,3452.419921875
2022-07-05,12401.2001953125,20705.0,5794.9599609375,7959.39990234375,3359.830078125
2022-07-06,12594.51953125,20921.0,5912.3798828125,7948.60009765625,3421.840087890625
2022-07-07,12843.2197265625,21558.0,6006.7001953125,8122.5,3488.5
2022-07-08,13015.23046875,21774.0,6033.1298828125,8100.2998046875,3506.550048828125
2022-07-11,12832.4404296875,21568.0,5996.2998046875,8065.2001953125,3471.68994140625
2022-07-12,12905.48046875,21486.0,6044.2001953125,8014.7998046875,3487.050048828125
2022-07-13,12756.3203125,21286.0,6000.240234375,7944.89990234375,3453.969970703125
2022-07-14,12519.66015625,20554.0,5915.41015625,7804.2998046875,3396.610107421875
2022-07-15,12864.7197265625,20933.0,6036.0,7945.89990234375,3477.199951171875
2022-07-18,12959.8095703125,21169.0,6091.91015625,7963.10009765625,3511.860107421875
2022-07-19,13308.41015625,21696.0,6201.22021484375,8125.10009765625,3587.43994140625
2022-07-20,13281.98046875,21348.0,6184.66015625,8028.89990234375,3585.239990234375
2022-07-21,13246.6396484375,21197.0,6201.10986328125,8012.7001953125,3596.510009765625
2022-07-22,13253.6796875,21212.0,6216.81982421875,8051.60009765625,3596.489990234375
2022-07-25,13210.3203125,21383.0,6237.5498046875,8085.60009765625,3604.159912109375
2022-07-26,13096.9296875,21160.0,6211.4501953125,8069.60009765625,3575.360107421875
2022-07-27,13166.3798828125,21481.0,6257.93994140625,8124.39990234375,3607.780029296875
2022-07-28,13282.1103515625,21932.0,6339.2099609375,8084.89990234375,3652.199951171875
2022-07-29,13484.0498046875,22405.0,6448.5,8156.2001953125,3708.10009765625
2022-08-01,13479.6298828125,22429.0,6436.85986328125,8085.10009765625,
2022-08-02,13449.2001953125,22351.0,6409.7998046875,8096.89990234375,3684.6298828125
2022-08-03,13587.5595703125,22575.0,6472.06005859375,8142.10009765625,3732.5400390625
2022-08-04,13662.6796875,22646.0,6513.39013671875,8161.10009765625,3754.60009765625
2022-08-05,13573.9296875,22587.0,6472.35009765625,8168.0,3725.389892578125
2022-08-08,13687.6904296875,22728.0,6524.43994140625,8272.5,3757.219970703125
2022-08-09,13534.9697265625,22488.0,6490.0,8311.900390625,3715.3701171875
2022-08-10,13700.9296875,22702.0,6523.43994140625,8352.7998046875,3749.35009765625
2022-08-11,13694.509765625,22858.0,6544.669921875,8380.0,3757.050048828125
2022-08-12,13795.849609375,22971.0,6553.85986328125,8400.400390625,3776.81005859375
2022-08-15,13816.6103515625,,6569.9501953125,8427.0,3789.6201171875
2022-08-16,13910.1201171875,22998.0,6592.580078125,8511.900390625,3805.219970703125
2022-08-17,13626.7099609375,22758.0,6528.31982421875,8434.7998046875,3756.06005859375
2022-08-18,13697.41015625,22986.0,6557.39990234375,8430.2998046875,3777.3798828125
2022-08-19,13544.51953125,22535.0,6495.830078125,8338.099609375,3730.320068359375
2022-08-22,13230.5703125,22166.0,6378.740234375,8284.7998046875,3658.219970703125
2022-08-23,13194.23046875,22380.0,6362.02001953125,8226.2998046875,3652.52001953125
2022-08-24,13220.0595703125,22431.0,6386.759765625,8199.400390625,3667.4599609375
2022-08-25,13271.9599609375,22454.0,6381.56005859375,8187.5,3674.5400390625
2022-08-26,12971.4697265625,21895.0,6274.259765625,8063.89990234375,3603.679931640625
2022-08-29,12892.990234375,21842.0,6222.27978515625,7989.60009765625,3570.510009765625
2022-08-30,12961.1396484375,21825.0,6210.22021484375,7979.7998046875,3561.919921875
2022-08-31,12834.9599609375,21559.0,6125.10009765625,7886.10009765625,3517.25
2022-09-01,12630.23046875,21302.0,6034.31005859375,7806.0,3456.699951171875
2022-09-02,13050.26953125,21921.0,6167.509765625,7932.2001953125,3544.3798828125
2022-09-05,12760.7802734375,21480.0,6093.22021484375,7862.7001953125,3490.010009765625
2022-09-06,12871.4404296875,21481.0,6104.60986328125,7842.2001953125,3500.139892578125
2022-09-07,12915.9697265625,21489.0,6105.919921875,7855.89990234375,3502.090087890625
2022-09-08,12904.3203125,21678.0,6125.89990234375,7916.7998046875,3512.3798828125
2022-09-09,13088.2099609375,22095.0,6212.330078125,8033.10009765625,3570.0400390625
2022-09-12,13402.26953125,22610.0,6333.58984375,8194.2998046875,3646.510009765625
2022-09-13,13188.9501953125,22304.0,6245.68994140625,8064.0,3586.179931640625
2022-09-14,13028.0,22413.0,6222.41015625,8055.60009765625,3567.56005859375
2022-09-15,12956.66015625,22366.0,6157.83984375,8085.5,3541.7900390625
2022-09-16,12741.259765625,22111.0,6077.2998046875,7984.7001953125,3500.409912109375
2022-09-19,12803.240234375,22141.0,6061.58984375,7993.2001953125,3499.489990234375
2022-09-20,12670.830078125,21774.0,5979.47021484375,7873.10009765625,3467.090087890625
2022-09-21,12767.150390625,22036.0,6031.330078125,7872.2001953125,3491.8701171875
2022-09-22,12531.6298828125,21799.0,5918.5,7774.7001953125,3427.139892578125
2022-09-23,12284.1904296875,21067.0,5783.41015625,7583.5,3348.60009765625
2022-09-26,12227.919921875,21207.0,5769.39013671875,7508.5,3342.56005859375
2022-09-27,12139.6796875,20961.0,5753.81982421875,7445.7001953125,3328.64990234375
2022-09-28,12183.2802734375,20853.0,5765.009765625,7442.2001953125,3335.300048828125
2022-09-29,11975.5498046875,20353.0,5676.8701171875,7300.10009765625,3279.0400390625
2022-09-30,12114.3603515625,20649.0,5762.33984375,7366.7998046875,3318.199951171875
2022-10-03,12209.48046875,20973.0,5794.14990234375,7462.0,3342.169921875
2022-10-04,12670.48046875,21691.0,6039.68994140625,7696.60009765625,3484.47998046875
2022-10-05,12517.1796875,21361.0,5985.4599609375,7579.89990234375,3447.719970703125
2022-10-06,12470.7802734375,21141.0,5936.419921875,7511.10009765625,3433.449951171875
2022-10-07,12273.0,20902.0,5866.93994140625,7436.89990234375,3375.4599609375
2022-10-10,12272.9404296875,20913.0,5840.5498046875,7413.5,3356.8798828125
2022-10-11,12220.25,20731.0,5833.2001953125,7355.89990234375,3340.35009765625
2022-10-12,12172.259765625,20467.0,5818.47021484375,7261.10009765625,3331.530029296875
2022-10-13,12355.580078125,20786.0,5879.18994140625,7348.7998046875,3362.39990234375
2022-10-14,12437.8095703125,20931.0,5931.919921875,7382.5,3381.72998046875
2022-10-17,12649.0302734375,21320.0,6040.66015625,7557.10009765625,3441.639892578125
2022-10-18,12765.6103515625,21519.0,6067.0,7611.2998046875,3463.830078125
2022-10-19,12741.41015625,21472.0,6040.72021484375,7583.60009765625,3471.239990234375
